Vc,f,ap,T,Kp,Ra,Rt,Fr,Tpº,RD,OEE_P,OEE_I,MTTc,MPROD,Cp,MO,ROI,TIR,TIRM,VPL,C_ENER,y
100.0,0.1,0.15,57.0,2.46,0.62,3.0,339.38,506.55,71.22,0.5290000873942954,0.9907192967123808,209.66508048286087,133.45963111576123,166.0113815647617,0.011837014495466045,0.07586631649403376,0.9924298119624172,0.32582900626091305,17180617.797463436,108625.16494577944,CC6050
225.0,0.1,0.15,29.5,1.52,0.64,3.0,235.38,641.23,90.32,0.39097906205937893,0.9867464724725635,154.96151790366818,222.00790530611494,165.33089449223647,0.01588753278430673,0.16938767142586186,2.1155532673847097,0.429170981303455,40301429.83880158,107372.12820353439,CC6050
100.0,0.22,0.15,48.25,1.92,0.98,7.26,430.76,484.34,84.97,0.3937181292984547,0.9918400387710165,156.04712595329548,223.563217698131,165.14918946717458,0.016969110314437163,0.1821865549180148,2.2691493516543826,0.4391749144861108,43465633.135222785,107396.99508074904,CC6050
225.0,0.22,0.15,26.5,1.25,1.09,7.42,239.76,637.86,94.49,0.248995302376596,0.9906039508537133,98.68735630988898,318.3463106770612,164.82630303165567,0.018891053383002187,0.2888104447611855,3.5486587110238546,0.5047422260125809,69825718.67907967,106083.11540818014,CC6050
100.0,0.1,0.33,58.5,3.01,0.65,3.02,449.37,496.28,76.39,0.52917018315432,0.9909543558435159,209.73249661768813,133.50254399598225,165.997415749298,0.011920144349416559,0.07642368155484454,0.9991409864785389,0.3267099575004518,17318412.345230788,108626.70917598996,CC6050
225.0,0.1,0.33,26.0,1.76,0.72,2.84,242.35,572.32,92.49,0.3900390873816362,0.9849984966391678,154.58896623277616,221.47416365727244,165.3938389765592,0.015512863234766536,0.16499543664813407,2.062842232686323,0.425587548080741,39215559.827494115,107363.59455581562,CC6050
100.0,0.22,0.33,49.0,2.33,1.33,6.78,452.34,502.56,83.82,0.39378456381950244,0.9919635803302143,156.073456760292,223.60094091732378,165.14481371350988,0.01699515646720311,0.1824969845718104,2.2728746955571375,0.4394099303714078,43542379.09001235,107397.59821274015,CC6050
225.0,0.22,0.33,26.5,1.12,1.39,8.28,244.86,603.33,91.49,0.248995302376596,0.9906039508537133,98.68735630988898,318.3463106770612,164.82630303165567,0.018891053383002187,0.2888104447611855,3.5486587110238546,0.5047422260125809,69825718.67907967,106083.11540818014,CC6050
57.39,0.16,0.24,56.0,3.18,1.12,4.86,486.43,439.78,83.77,0.5387452885805288,0.9903795484182049,213.5275153665632,126.79781197539386,166.13908886971316,0.011076851965992993,0.06745047463099911,0.8909999049228802,0.3118415748205532,15100011.7366692,108713.63766301429,CC6050
267.61,0.16,0.24,22.5,1.18,1.97,4.62,221.23,537.86,88.22,0.2735338262469828,0.9878429410556896,108.41300986801502,300.31304672580336,164.94744560029935,0.018169966664884896,0.2620506428448896,3.2275390591538584,0.4905805051843138,63210028.061453596,106305.89068416035,CC6050
162.5,0.05,0.24,37.0,2.76,0.32,2.18,320.87,508.97,85.77,0.5351740062247288,0.985535837669602,212.11206531201955,125.95728343944154,166.44425442616455,0.009260390320449246,0.05601566249666614,0.7527446958582961,0.2903855022511375,12273040.909753172,108681.21544329892,CC6050
162.5,0.26,0.24,38.25,1.43,1.35,7.44,355.37,541.98,85.49,0.27539598665950754,0.9928001049239344,109.15106270026911,302.35751440517754,164.81688763314267,0.018947097421769768,0.2751188538457752,3.3843586986907774,0.49764703816076944,66440815.837018676,106322.79648102124,CC6050
162.5,0.16,0.09,50.0,1.45,0.87,4.56,331.38,567.99,86.43,0.36497560461978135,0.9927004879076043,144.65524929081982,243.1180660349913,165.0272815289873,0.017694752803647143,0.20659444085901799,2.562054769196927,0.45667728827923776,49499871.44988075,107136.0533916124,CC6050
162.5,0.16,0.39,46.0,1.87,0.95,4.16,357.54,579.76,84.87,0.36466294667359395,0.9920725446375306,144.53132973955118,242.90979788159862,165.04773084083686,0.017573030709304358,0.20499751640111194,2.5428911633672233,0.4555884866225454,49105071.88498612,107133.2148973078,CC6050
162.5,0.16,0.24,42.0,1.87,1.14,7.43,340.38,509.88,86.52,0.3642914325697704,0.9913263944626246,144.38408300682875,242.6623243812248,165.07207525970546,0.01742812345413436,0.2030999796006315,2.520120085322748,0.4542851209045906,48635953.4495509,107129.84207189063,CC6050
162.5,0.16,0.24,41.5,1.85,1.13,7.44,333.27,485.64,84.75,0.3642400174236212,0.9912231321102742,144.363705012548,242.6280756513412,165.07544828159686,0.017408045942875663,0.20283737279535496,2.516968713119667,0.4541039127327548,48571030.49596368,107129.37529469436,CC6050
162.5,0.16,0.24,42.5,1.89,1.12,7.45,336.29,482.65,85.59,0.36434165195667007,0.9914272552480783,144.40398707120795,242.69577659026552,165.06878160303503,0.017447728553363077,0.20335647897376177,2.523198165646779,0.4544619187619023,48699366.49354655,107130.29799327513,CC6050
162.5,0.16,0.24,41.0,1.85,1.14,7.44,335.37,490.85,84.42,0.36418736329582935,0.9911173813830285,144.3428359575057,242.59300160925335,165.07890357231494,0.017387478736220485,0.20256843779624198,2.513741399772767,0.4539181269910168,48504543.05499024,107128.89726928777,CC6050
162.5,0.16,0.24,42.25,1.83,1.13,7.46,332.27,493.23,85.17,0.3670306469259402,0.9913128840964274,145.4697493651749,240.8439559026074,165.08084903051497,0.017375898627887278,0.20097402252124744,2.494607849470968,0.4528122617241576,48110363.82270849,107154.71028472151,CC6050
100.0,0.1,0.15,62.0,2.55,0.13,1.18,340.22,502.82,64.39,0.52953543525565,0.9914591058829734,209.8772614543049,133.59469220515905,166.03802512902928,0.011678421851016427,0.07492560553118376,0.9811012753887632,0.32433009437171517,16948050.57927949,108630.02515123389,CC6050W
225.0,0.1,0.15,33.0,1.58,0.11,1.09,236.49,653.54,83.26,0.3917228452016543,0.988129610751465,155.2563105815959,222.4302443862406,165.34020883792158,0.015832090250466644,0.16911767320595025,2.112313046028534,0.4289530210181361,40234679.543121815,107378.88070811314,CC6050W
100.0,0.22,0.15,52.0,2.04,0.41,2.82,432.59,473.86,74.92,0.3940313342507506,0.9924224743413317,156.17126230619135,223.74106347591888,165.16595620471568,0.016869308305263838,0.18125912218247056,2.25801958677421,0.43847072153064004,43236348.6260844,107399.83854109957,CC6050W
225.0,0.22,0.15,30.5,1.32,0.72,3.52,240.32,633.72,83.54,0.24941044939036375,0.9918226082167093,98.85189660794944,318.87708583209496,164.8242912399722,0.018903028333498884,0.2894753559372068,3.5566376848047927,0.5050792330626845,69990101.30950856,106086.8843590369,CC6050W
100.0,0.1,0.33,63.0,3.17,0.34,2.44,451.47,475.23,68.88,0.5296324235215514,0.9915931361345787,209.91570200102814,133.61916104457555,166.02895671049987,0.011732400532738718,0.07528570479707951,0.9854380128879842,0.3249056746135578,17037076.10130124,108630.9056682453,CC6050W
225.0,0.1,0.33,30.0,1.85,0.09,0.66,244.18,569.33,85.65,0.39109575515961303,0.9869634748280128,155.00776830860266,222.07416663123595,165.38789903227268,0.015548220045995986,0.16581950648858604,2.072731907538913,0.4262660721125396,39419290.45034476,107373.18761272082,CC6050W
100.0,0.22,0.33,52.0,2.49,0.08,0.72,459.39,539.5,69.49,0.3940313342507506,0.9924224743413317,156.17126230619135,223.74106347591888,165.16595620471568,0.016869308305263838,0.18125912218247056,2.25801958677421,0.43847072153064004,43236348.6260844,107399.83854109957,CC6050W
225.0,0.22,0.33,28.5,1.17,0.42,2.23,246.31,609.3,88.72,0.24921727038843416,0.9912555343723356,98.77533160928066,318.63010196542143,164.8403730378602,0.01880730334607045,0.28778637636799,3.5363698283706824,0.5042218493635316,69572543.42457382,106085.13056546333,CC6050W
57.39,0.16,0.24,59.0,3.35,0.22,1.74,485.87,429.43,73.75,0.539101507588087,0.9908626863120664,213.66870000654518,126.88165083524062,166.18839946394576,0.010783336524132395,0.06570505230116618,0.8699359124728673,0.3087651007948076,14668499.79321793,108716.87163047449,CC6050W
267.61,0.16,0.24,24.5,1.23,0.29,1.42,224.48,528.32,95.44,0.2739009968377586,0.9888203674760099,108.55853508303936,300.7161636649291,164.96263031641368,0.01807958144991809,0.2610847627735627,3.2159484055946557,0.49004606707433346,62971238.411753446,106309.22407658948,CC6050W
162.5,0.05,0.24,39.0,2.87,0.13,1.18,319.28,498.24,83.15,0.5357107547783734,0.9862638268005546,212.32480143698558,126.08361130462325,166.51838440953495,0.008819140419434936,0.05340006625691506,0.7210093361134775,0.28499325691539834,11626400.26730942,108686.08836506885,CC6050W
162.5,0.26,0.24,40.25,1.51,0.49,2.6,358.85,540.93,85.53,0.27552913619352404,0.9931545556225212,109.20383548505883,302.5036994045951,164.83259849616616,0.018853580379963222,0.2738933108734071,3.369652089680036,0.4969969627498238,66137831.0403011,106324.00529147552,CC6050W
162.5,0.16,0.09,51.0,1.51,0.22,1.48,330.98,558.77,80.27,0.36504618001294,0.9928422317644522,144.6832213003512,243.1650778157163,165.05516207631533,0.01752879716478976,0.20469640637705366,2.5392777441304286,0.45538236258020715,49030629.97516648,107136.6941168969,CC6050W
162.5,0.16,0.39,47.5,1.98,0.12,0.92,359.24,565.83,85.85,0.3647863002700897,0.9923202884153665,144.5802199805047,242.99196635378934,165.07455446566053,0.017413366275830244,0.20320124950991833,2.5213353589864993,0.45435494656586656,48660989.89753345,107134.3347744303,CC6050W
162.5,0.16,0.24,43.5,1.99,0.47,0.98,336.52,497.34,83.26,0.3644386665185529,0.9916220996202632,144.44243804013948,242.76040006746132,165.10051511659097,0.017258838591720758,0.20120849404547084,2.4974215926196788,0.45297536369783004,48168331.03291987,107131.17874901705,CC6050W
162.5,0.16,0.24,43.0,1.96,0.49,0.97,335.28,485.32,85.32,0.3643907168193806,0.9915257972832702,144.42343354888206,242.72845974602026,165.1041011709383,0.017237493030129208,0.20093320082386537,2.49411797427498,0.45278384848477266,48100271.68072573,107130.74343320414,CC6050W
162.5,0.16,0.24,44.5,2.01,0.49,0.96,334.92,495.73,82.58,0.36453136912166684,0.9918082838399626,144.47917999766656,242.82215125658246,165.09358476436898,0.017300090688279764,0.2017407267539755,2.5038085758384625,0.45334498288677855,48299912.236213855,107132.02035823942,CC6050W
162.5,0.16,0.24,44.0,1.96,0.48,0.98,337.83,497.44,87.72,0.36448553864573613,0.9917162377580515,144.4610154440993,242.7916225951249,165.09701056347873,0.01727969902691255,0.2014776006116966,2.500650968173196,0.4531623556569202,48234860.88956454,107131.60428199224,CC6050W
162.5,0.16,0.24,45.0,1.95,0.47,0.97,334.78,506.15,84.45,0.3672940322120791,0.9918379103952871,145.57414007990675,241.01678821176608,165.1009864172394,0.017256033230718257,0.1997258081012725,2.4796288158539306,0.45194119858320586,47801774.07855283,107157.10145258957,CC6050W
100.0,0.1,0.15,59.0,2.35,0.23,1.32,346.23,481.32,69.55,0.5292249830423728,0.9910300850331801,209.75421612816234,133.5163692731778,166.0113815647617,0.011837014495466045,0.07586631649403376,0.9924298119624172,0.32582900626091305,17180617.797463436,108625.16494577944,CC650
225.0,0.1,0.15,31.25,1.44,0.4,2.26,234.27,644.76,94.83,0.3913714272482342,0.9874761143280566,155.11702880217342,222.23070028964673,165.33089449223647,0.01588753278430673,0.16938767142586186,2.1155532673847097,0.429170981303455,40301429.83880158,107372.12820353439,CC650
100.0,0.22,0.15,48.5,1.78,1.62,6.08,442.14,461.76,83.57,0.39374049993260746,0.9918816391766473,156.05599238058323,223.57592031602178,165.14918946717458,0.016969110314437163,0.1821865549180148,2.2691493516543826,0.4391749144861108,43465633.135222785,107396.99508074904,CC650
225.0,0.22,0.15,26.0,1.17,1.72,6.1,250.48,628.92,95.39,0.24893454361073536,0.9904255944765101,98.66327504442663,318.2686291755698,164.82630303165567,0.018891053383002187,0.2888104447611855,3.5486587110238546,0.5047422260125809,69825718.67907967,106083.11540818014,CC650
100.0,0.1,0.33,58.0,2.8,0.32,2.24,452.12,472.75,77.82,0.5291144500833498,0.9908773370675286,209.71040724740442,133.48848328924538,165.997415749298,0.011920144349416559,0.07642368155484454,0.9991409864785389,0.3267099575004518,17318412.345230788,108626.70917598996,CC650
225.0,0.1,0.33,26.25,1.64,0.24,1.78,251.23,547.19,97.18,0.39011437425805345,0.9851385000282646,154.61880560214388,221.51691347012016,165.3938389765592,0.015512863234766536,0.16499543664813407,2.062842232686323,0.425587548080741,39215559.827494115,107363.59455581562,CC650
100.0,0.22,0.33,48.5,2.12,1.74,6.2,464.28,482.64,79.13,0.39374049993260746,0.9918816391766473,156.05599238058323,223.57592031602178,165.14481371350988,0.01699515646720311,0.1824969845718104,2.2728746955571375,0.4394099303714078,43542379.09001235,107397.59821274015,CC650
225.0,0.22,0.33,26.0,1.06,1.67,6.52,254.24,577.93,95.37,0.24893454361073536,0.9904255944765101,98.66327504442663,318.2686291755698,164.82630303165567,0.018891053383002187,0.2888104447611855,3.5486587110238546,0.5047422260125809,69825718.67907967,106083.11540818014,CC650
57.39,0.16,0.24,56.5,2.96,0.72,4.02,495.47,417.49,83.28,0.5388072515594309,0.9904635884679747,213.55207391252196,126.81239543498928,166.13908886971316,0.011076851965992993,0.06745047463099911,0.8909999049228802,0.3118415748205532,15100011.7366692,108713.63766301429,CC650
267.61,0.16,0.24,21.5,1.11,0.65,3.18,230.77,518.99,93.37,0.27332506428818165,0.9872872063121777,108.3302686852878,300.08384677365046,164.94744560029935,0.018169966664884896,0.2620506428448896,3.2275390591538584,0.4905805051843138,63210028.061453596,106305.89068416035,CC650
162.5,0.05,0.24,36.0,2.61,0.26,1.96,335.28,487.95,86.83,0.534883716271871,0.985142118992448,211.9970111413689,125.88896148537349,166.44425442616455,0.009260390320449246,0.05601566249666614,0.7527446958582961,0.2903855022511375,12273040.909753172,108681.21544329892,CC650
162.5,0.26,0.24,38.5,1.32,1.63,6.65,368.34,528.96,85.58,0.2754133795724377,0.9928464057253913,109.15795624636905,302.3766101007453,164.81688763314267,0.018947097421769768,0.2751188538457752,3.3843586986907774,0.49764703816076944,66440815.837018676,106322.79648102124,CC650
162.5,0.16,0.09,47.25,1.37,0.96,3.7,337.13,545.98,86.93,0.3647662795528778,0.9922800787396215,144.572284924565,242.97863012531937,165.0272815289873,0.017694752803647143,0.20659444085901799,2.562054769196927,0.45667728827923776,49499871.44988075,107136.0533916124,CC650
162.5,0.16,0.39,45.0,1.72,0.92,4.38,371.15,554.66,85.35,0.364576192288075,0.9918983068380428,144.4969453119196,242.85200892759602,165.04773084083686,0.017573030709304358,0.20499751640111194,2.5428911633672233,0.4555884866225454,49105071.88498612,107133.2148973078,CC650
162.5,0.16,0.24,40.5,1.72,0.82,4.42,343.43,487.93,88.92,0.36413342485548544,0.9910090512381362,144.32145787514747,242.5570720590714,165.07207525970546,0.01742812345413436,0.2030999796006315,2.520120085322748,0.4542851209045906,48635953.4495509,107129.84207189063,CC650
162.5,0.16,0.24,41.0,1.7,0.83,4.43,340.49,490.77,85.17,0.36418736329582935,0.9911173813830285,144.3428359575057,242.59300160925335,165.07544828159686,0.017408045942875663,0.20283737279535496,2.516968713119667,0.4541039127327548,48571030.49596368,107129.37529469436,CC650
162.5,0.16,0.24,42.0,1.74,0.81,4.44,341.78,488.65,86.38,0.3642914325697704,0.9913263944626246,144.38408300682875,242.6623243812248,165.06878160303503,0.017447728553363077,0.20335647897376177,2.523198165646779,0.4544619187619023,48699366.49354655,107130.29799327513,CC650
162.5,0.16,0.24,41.5,1.7,0.82,4.42,342.28,492.33,85.22,0.3642400174236212,0.9912231321102742,144.363705012548,242.6280756513412,165.07890357231494,0.017387478736220485,0.20256843779624198,2.513741399772767,0.4539181269910168,48504543.05499024,107128.89726928777,CC650
162.5,0.16,0.24,42.0,1.69,0.83,4.43,339.76,489.85,87.72,0.3670050127021178,0.9912617854118544,145.45958943944157,240.8271348335125,165.08084903051497,0.017375898627887278,0.20097402252124744,2.494607849470968,0.4528122617241576,48110363.82270849,107154.71028472151,CC650
100.0,0.1,0.15,61.0,2.42,0.45,2.78,344.23,485.67,70.43,0.5294353043273218,0.9913207327159456,209.83757533771046,133.56943051413782,166.0113815647617,0.011837014495466045,0.07586631649403376,0.9924298119624172,0.32582900626091305,17180617.797463436,108625.16494577944,CC650W
225.0,0.1,0.15,32.25,1.49,0.54,3.63,240.57,648.77,92.44,0.39157683092080303,0.9878580827621457,155.1984389542071,222.34733374528236,165.33089449223647,0.01588753278430673,0.16938767142586186,2.1155532673847097,0.429170981303455,40301429.83880158,107372.12820353439,CC650W
100.0,0.22,0.15,50.5,1.87,0.98,4.58,438.47,465.48,85.67,0.3939115753278616,0.9921997707855869,156.12379678623327,223.67306129832855,165.14918946717458,0.016969110314437163,0.1821865549180148,2.2691493516543826,0.4391749144861108,43465633.135222785,107396.99508074904,CC650W
225.0,0.22,0.15,30.0,1.22,1.22,5.15,246.54,632.87,97.55,0.24936454226517676,0.9916878485911608,98.83370167504413,318.81839250014235,164.82630303165567,0.018891053383002187,0.2888104447611855,3.5486587110238546,0.5047422260125809,69825718.67907967,106083.11540818014,CC650W
100.0,0.1,0.33,62.25,2.93,0.55,3.64,448.59,476.53,78.75,0.5295599710985538,0.991493012512473,209.88698604528258,133.60088226943517,165.997415749298,0.011920144349416559,0.07642368155484454,0.9991409864785389,0.3267099575004518,17318412.345230788,108626.70917598996,CC650W
225.0,0.1,0.33,28.5,1.72,0.62,3.76,248.68,551.23,96.87,0.39073361985264127,0.9862900484262231,154.86423878924873,221.8685369473478,165.3938389765592,0.015512863234766536,0.16499543664813407,2.062842232686323,0.425587548080741,39215559.827494115,107363.59455581562,CC650W
100.0,0.22,0.33,50.5,2.24,0.93,4.78,461.43,486.72,80.53,0.3939115753278616,0.9921997707855869,156.12379678623327,223.67306129832855,165.14481371350988,0.01699515646720311,0.1824969845718104,2.2728746955571375,0.4394099303714078,43542379.09001235,107397.59821274015,CC650W
225.0,0.22,0.33,27.5,1.1,0.89,4.18,250.93,582.54,94.68,0.24911027278256975,0.9909414446260884,98.73292393831869,318.49330302683455,164.82630303165567,0.018891053383002187,0.2888104447611855,3.5486587110238546,0.5047422260125809,69825718.67907967,106083.11540818014,CC650W
57.39,0.16,0.24,58.0,3.09,0.67,3.85,493.54,420.86,85.62,0.5389868109941928,0.9907071239483759,213.62324090140893,126.85465611722618,166.13908886971316,0.011076851965992993,0.06745047463099911,0.8909999049228802,0.3118415748205532,15100011.7366692,108713.63766301429,CC650W
